Run-1,Run-2,Run-3, result
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,M,F,F
M,M,M,M
M,M,M,M
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
M,M,M,M
M,M,M,M
F,F,F,F
M,M,M,M
M,M,M,M
M,M,M,M
F,F,F,F
F,F,F,F
M,M,M,M
M,F,M,M
M,M,M,M
M,M,M,M
F,F,F,F
M,M,M,M
M,M,M,M
M,M,M,M
F,F,F,F
M,M,M,M
M,M,M,M
F,F,F,F
M,M,M,M
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
M,F,F,F
M,M,M,M
F,F,F,F
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
F,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
F,F,F,F
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,F,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
F,F,F,F
M,M,M,M
F,F,F,F
M,M,M,M
M,M,M,M
F,F,F,F
