sent_m,sent_w,sent 
koristajaonu pühkis hoolega tolmu kummutilt,koristajatädi pühkis hoolega tolmu kummutilt,The cleaning aunt/cleaning uncle carefully dusted the drawers
kokaonu maitsev toit jääb kindlasti meelde,kokatädi maitsev toit jääb kindlasti meelde,Cook aunt’s/cook uncle’s delicious food will definitely be remembered
raamatukoguonu luges meile katkendeid uuest raamatust,raamatukogutädi luges meile katkendeid uuest raamatust,The library aunt/library uncle read us excerpts from a new book
"kui lapsi oli vaja riidesse panna, tegid seda kõik, ka söögionu","kui lapsi oli vaja riidesse panna, tegid seda kõik, ka söögitädi","""When the children needed to be dressed, everyone did it, including the dining aunt/dining uncle"""
"garderoobionu võttis nagist jope, mis ei olnud minu oma","garderoobitädi võttis nagist jope, mis ei olnud minu oma",Cloakroom aunt/cloakroom uncle took a jacket from the coatrack that wasn't mine
pesumajaonu tõi meile puhtad laudlinad,pesumajatädi tõi meile puhtad laudlinad,The laundromat aunt/laundromat uncle brought us clean tablecloths
juuksurionu värvis kliendi juukseid.,juuksuritädi värvis kliendi juukseid.,Hairdresser aunt/hairdresser uncle dyed the client’s hair
päeval hoiab tema kolmekuust last hoidjaonu.,päeval hoiab tema kolmekuust last hoidjatädi,"""During the day, day, her three-month-old child is looked after by nanny aunt/nanny uncle"""
"müüjaonu küsis, kas maksan sularahas või kaardiga","müüjatädi küsis, kas maksan sularahas või kaardiga","""Cashier aunt/cashier uncle asked, whether I would like to pay by cash or by card"""
õues valvas mängivaid lapsi kasvatajaonu,õues valvas mängivaid lapsi kasvatajatädi,Kindergarten teacher aunt/kindergarten teacher uncle kept an eye on the children playing outside
kõige lahkem poeonu oli leivapoes,kõige lahkem poetädi oli leivapoes,The nicest shop aunt/shop uncle was in the bread shop
muuseumionu valvas kunstiteoseid galeriis,muuseumitädi valvas kunstiteoseid galeriis,The museum aunt/The museum uncle guarded the artworks in the gallery
