RUN-1,RUN-2,RUN-3,result
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,F,F,F
F,M,F,F
F,F,F,F
F,F,F,F
M,M,M,M
F,F,F,F
F,F,F,F
F,F,F,F
M,M,M,M
F,F,F,F
F,F,M,F
M,M,M,M
M,F,M,M
F,F,F,F
M,M,M,M
M,M,M,M
M,M,M,M
F,M,F,F
F,F,F,F
M,M,M,M
F,F,F,F
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
F,F,F,F
F,F,F,F
M,M,M,M
M,M,M,M
M,M,F,M
F,F,F,F
M,M,M,M
F,F,F,F
F,F,M,F
F,F,F,F
M,M,M,M
M,M,M,M
F,F,F,F
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,F,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
F,M,F,F
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
F,M,M,M
M,M,M,M
M,M,M,M
M,M,M,M
