,sent_w,sent_m,preferredLabel_en,Labor_Stat,n_words,term_root,has_duplicates
0,administraatoritädi kontrollib klientide tausta,administraatorionu kontrollib klientide tausta,screen clients,F,3,administraatori,True
1,administraatoritädi vastab klientide päringutele,administraatorionu vastab klientide päringutele,respond to customers' inquiries,F,3,administraatori,False
2,administraatoritädi tervitab külastajaid,administraatorionu tervitab külastajaid,greet guests,F,2,administraatori,False
3,administraatoritädi peab logiraamatuid,administraatorionu peab logiraamatuid,maintain logbooks,F,2,administraatori,False
4,administraatoritädi haldab vastuvõtuala,administraatorionu haldab vastuvõtuala,maintain reception area,F,2,administraatori,True
5,administraatoritädi haldab vastuvõtuaegu,administraatorionu haldab vastuvõtuaegu,administer appointments,F,2,administraatori,True
6,administraatoritädi lahendab kliendikaebusi,administraatorionu lahendab kliendikaebusi,handle customer complaints,F,2,administraatori,True
7,administraatoritädi teeb broneeringuid,administraatorionu teeb broneeringuid,process booking,F,2,administraatori,False
8,administraatoritädi abistab vastuvõtulauas,administraatorionu abistab vastuvõtulauas,assist at check-in,F,2,administraatori,True
9,administraatoritädi registreerib külastajaid,administraatorionu registreerib külastajaid,register visitors,F,2,administraatori,False
10,ajakirjanikutädi esitab uute lugude jaoks konteksti,ajakirjanikuonu esitab uute lugude jaoks konteksti,provide context to news stories,F,5,ajakirjaniku,False
11,ajakirjanikutädi vaatab video- ja filmitööstuse tooteid,ajakirjanikuonu vaatab video- ja filmitööstuse tooteid,watch video and motion picture production products,F,5,ajakirjaniku,False
12,ajakirjanikutädi loob uudistevoo tagamiseks kontakte,ajakirjanikuonu loob uudistevoo tagamiseks kontakte,build contacts to maintain news flow,F,4,ajakirjaniku,True
13,ajakirjanikutädi loob veebipõhiste uudiste sisu,ajakirjanikuonu loob veebipõhiste uudiste sisu,create online news content,F,4,ajakirjaniku,True
14,ajakirjanikutädi otsib allikatest teavet,ajakirjanikuonu otsib allikatest teavet,consult information sources,F,3,ajakirjaniku,True
15,ajakirjanikutädi kontrollib teabe õigsust,ajakirjanikuonu kontrollib teabe õigsust,check correctness of information,F,3,ajakirjaniku,True
16,ajakirjanikutädi toimetab avaldamata artikleid,ajakirjanikuonu toimetab avaldamata artikleid,review unpublished articles,F,3,ajakirjaniku,False
17,ajakirjanikutädi käsitleb probleeme kriitiliselt,ajakirjanikuonu käsitleb probleeme kriitiliselt,address problems critically,F,3,ajakirjaniku,False
18,ajakirjanikutädi kirjutab artikleid ümber,ajakirjanikuonu kirjutab artikleid ümber,rewrite articles,F,3,ajakirjaniku,False
19,ajakirjanikutädi intervjueerib inimesi,ajakirjanikuonu intervjueerib inimesi,interview people,F,2,ajakirjaniku,True
20,ajakirjanikutädi jälgib uudiseid,ajakirjanikuonu jälgib uudiseid,follow the news,F,2,ajakirjaniku,True
21,ajakirjanikutädi kirjutab pealkirju,ajakirjanikuonu kirjutab pealkirju,write headlines,F,2,ajakirjaniku,True
22,ajakirjanikutädi dokumenteerib intervjuusid,ajakirjanikuonu dokumenteerib intervjuusid,document interviews,F,2,ajakirjaniku,False
23,apteegitädi valmistab patsiendi vajadustele vastavaid ravimiannuseid ette,apteegionu valmistab patsiendi vajadustele vastavaid ravimiannuseid ette,prepare doses of medication according to patient needs,F,6,apteegi,False
24,apteegitädi nõustab tervishoiuteenuse kasutajaid ravimite osas,apteegionu nõustab tervishoiuteenuse kasutajaid ravimite osas,counsel healthcare users on medicines,F,5,apteegi,False
25,apteegitädi hangib tervishoiuteenuste kasutaja meditsiiniseisundi teavet,apteegionu hangib tervishoiuteenuste kasutaja meditsiiniseisundi teavet,obtain healthcare user's medical status information,F,5,apteegi,False
26,apteegitädi tuleb erakorralise meditsiiniabi olukordadega toime,apteegionu tuleb erakorralise meditsiiniabi olukordadega toime,deal with emergency care situations,F,5,apteegi,False
27,apteegitädi valmistab retsepti järgi ravimit,apteegionu valmistab retsepti järgi ravimit,prepare medication from prescription,F,4,apteegi,False
28,apteegitädi nõustab ravimite osas,apteegionu nõustab ravimite osas,provide pharmaceutical advice,F,3,apteegi,False
29,apteegitädi haldab apteegi dokumentatsiooni,apteegionu haldab apteegi dokumentatsiooni,maintain pharmacy records,F,3,apteegi,False
30,apteegitädi juhendab farmaatsiavaldkonna töötajaid,apteegionu juhendab farmaatsiavaldkonna töötajaid,supervise pharmaceutical staff,F,3,apteegi,False
31,apteegitädi ravib ravimite kõrvaltoimeid,apteegionu ravib ravimite kõrvaltoimeid,manage adverse reactions to drugs,F,3,apteegi,False
32,apteegitädi kontrollib retseptiandmeid,apteegionu kontrollib retseptiandmeid,check information on prescriptions,F,2,apteegi,False
33,apteegitädi esitab ravimiteavet,apteegionu esitab ravimiteavet,provide medicines information,F,2,apteegi,False
34,apteegitädi müüb ravimeid,apteegionu müüb ravimeid,dispense medicines,F,2,apteegi,False
35,apteegitädi testib ravimeid,apteegionu testib ravimeid,test medicinal products,F,2,apteegi,False
36,apteegitädi valmistab ravimeid,apteegionu valmistab ravimeid,manufacture medicines,F,2,apteegi,False
37,arstitädi nõustab patsiente reisimisega seoses võimalike nakkushaiguste teemal,arstionu nõustab patsiente reisimisega seoses võimalike nakkushaiguste teemal,advise patients on infectious diseases when travelling,F,7,arsti,False
38,arstitädi hindab klientide füüsilist seisundit,arstionu hindab klientide füüsilist seisundit,assess physical conditions of clients,F,4,arsti,False
39,arstitädi osutab patsiendile üldarstiabi tervishoiuteenuseid,arstionu osutab patsiendile üldarstiabi tervishoiuteenuseid,provide healthcare services to patients in general medical practice,F,4,arsti,False
40,arstitädi jälgib laste füüsilist arengut,arstionu jälgib laste füüsilist arengut,monitor children's physical development,F,4,arsti,False
41,arstitädi manustab immuunravi korral ravimit,arstionu manustab immuunravi korral ravimit,administer immunotherapy,F,4,arsti,False
42,arstitädi osaleb meditsiiniõppes koolitajana,arstionu osaleb meditsiiniõppes koolitajana,teach medicine,F,3,arsti,False
43,arstitädi teostab tervisealaseid teadusuuringuid,arstionu teostab tervisealaseid teadusuuringuid,conduct health related research,F,3,arsti,False
44,arstitädi osaleb rahvatervise kampaaniates,arstionu osaleb rahvatervise kampaaniates,contribute to public health campaigns,F,3,arsti,False
45,arstitädi ravib eakate haigusseisundeid,arstionu ravib eakate haigusseisundeid,treat medical conditions of elderly people,F,3,arsti,False
46,arstitädi analüüsib röntgenpilte,arstionu analüüsib röntgenpilte,analyse X-ray imagery,F,2,arsti,False
47,arstitädi juhendab arst-residente,arstionu juhendab arst-residente,supervise medical residents,F,2,arsti,False
48,audiotädi valmistab heliseadmeid laval ette,audioonu valmistab heliseadmeid laval ette,prepare sound equipment on stage,M,4,audio,False
49,audiotädi abistab helisüsteemide paigaldamisel,audioonu abistab helisüsteemide paigaldamisel,support audio system installation,M,3,audio,False
50,audiotädi koordineerib helisüsteemi programme,audioonu koordineerib helisüsteemi programme,coordinate audio system programmes,M,3,audio,False
51,audiotädi testib esinemispaiga helitehnikat,audioonu testib esinemispaiga helitehnikat,perform soundchecks,M,3,audio,False
52,audiotädi valmistab helivõimendussüsteemi ette,audioonu valmistab helivõimendussüsteemi ette,set up sound reinforcement system,M,3,audio,False
53,audiotädi häälestab juhtmeta helisüsteeme,audioonu häälestab juhtmeta helisüsteeme,tune up wireless audio systems,M,3,audio,False
54,audiotädi kujundab helisüsteemi tehniliselt,audioonu kujundab helisüsteemi tehniliselt,technically design a sound system,M,3,audio,False
55,audiotädi töötleb salvestatud heli,audioonu töötleb salvestatud heli,edit recorded sound,M,3,audio,False
56,audiotädi kavandab audiovisuaalset salvestust,audioonu kavandab audiovisuaalset salvestust,plan audiovisual recording,M,3,audio,False
57,audiotädi juhib heli otseülekannet,audioonu juhib heli otseülekannet,operate sound live,M,3,audio,False
58,audiotädi juhendab seadmete ettevalmistamisel,audioonu juhendab seadmete ettevalmistamisel,instruct on set up of equipment,M,3,audio,False
59,audiotädi käsitseb helimikserpulti,audioonu käsitseb helimikserpulti,operate an audio mixing console,M,2,audio,False
60,audiotädi hooldab heliseadmeid,audioonu hooldab heliseadmeid,maintain sound equipment,M,2,audio,False
61,audiotädi salvestab muusikat,audioonu salvestab muusikat,record music,M,2,audio,False
62,baaritädi paneb kangeid alkohoolseid jooke välja,baarionu paneb kangeid alkohoolseid jooke välja,display spirits,F,5,baari,False
63,baaritädi palub baari sulgemisajal klientidel lahkuda,baarionu palub baari sulgemisajal klientidel lahkuda,clear the bar at closing time,F,5,baari,False
64,baaritädi valmistab puuvilju jookide tarbeks ette,baarionu valmistab puuvilju jookide tarbeks ette,prepare fruit ingredients for use in beverages,F,5,baari,False
65,baaritädi valmistab jookidele garneeringuid ette,baarionu valmistab jookidele garneeringuid ette,prepare garnish for drinks,F,4,baari,False
66,baaritädi koostab joogikaarte ja hinnakirju,baarionu koostab joogikaarte ja hinnakirju,compile drinks menu,F,4,baari,False
67,baaritädi valmistab baariala ette,baarionu valmistab baariala ette,setup the bar area,F,3,baari,False
68,baaritädi hoiab baari puhtust,baarionu hoiab baari puhtust,maintain bar cleanliness,F,3,baari,False
69,baaritädi tutvustab joogikaarti,baarionu tutvustab joogikaarti,present drinks menu,F,2,baari,False
70,baaritädi käitleb baariseadmeid,baarionu käitleb baariseadmeid,handle bar equipment,F,2,baari,False
71,baaritädi serveerib jooke,baarionu serveerib jooke,serve beverages,F,2,baari,False
72,baaritädi serveerib õlut,baarionu serveerib õlut,serve beers,F,2,baari,False
73,baaritädi puhastab õlletorustikku,baarionu puhastab õlletorustikku,clean beer pipes,F,2,baari,False
74,baaritädi serveerib veine,baarionu serveerib veine,serve wines,F,2,baari,False
75,baaritädi valmistab segujooke,baarionu valmistab segujooke,prepare mixed beverages,F,2,baari,False
76,baaritädi vahetab vaate,baarionu vahetab vaate,change kegs,F,2,baari,False
77,baaritädi koostab kokteiligarneeringuid,baarionu koostab kokteiligarneeringuid,assemble cocktail garnishes,F,2,baari,False
78,bussitädi hoiab sõidukit kontrolli all,bussionu hoiab sõidukit kontrolli all,control the performance of the vehicle,M,4,bussi,False
79,bussitädi tagab sõiduki töökorras oleku,bussionu tagab sõiduki töökorras oleku,ensure vehicle operability,M,4,bussi,False
80,bussitädi abistab puudega reisijaid,bussionu abistab puudega reisijaid,assist disable passengers,M,3,bussi,False
