sent_m,sent_w,Labor_Stat
koristajaonu pühkis hoolega tolmu kummutilt,koristajatädi pühkis hoolega tolmu kummutilt,F
kokaonu maitsev toit jääb kindlasti meelde,kokatädi maitsev toit jääb kindlasti meelde,F
raamatukoguonu luges meile katkendeid uuest raamatust,raamatukogutädi luges meile katkendeid uuest raamatust,F
"kui lapsi oli vaja riidesse panna, tegid seda kõik, ka söögionu","kui lapsi oli vaja riidesse panna, tegid seda kõik, ka söögitädi",F
"garderoobionu võttis nagist jope, mis ei olnud minu oma","garderoobitädi võttis nagist jope, mis ei olnud minu oma",F
pesumajaonu tõi meile puhtad laudlinad,pesumajatädi tõi meile puhtad laudlinad,F
juuksurionu värvis kliendi juukseid.,juuksuritädi värvis kliendi juukseid.,F
päeval hoiab tema kolmekuust last hoidjaonu.,päeval hoiab tema kolmekuust last hoidjatädi,F
"müüjaonu küsis, kas maksan sularahas või kaardiga","müüjatädi küsis, kas maksan sularahas või kaardiga",F
õues valvas mängivaid lapsi kasvatajaonu,õues valvas mängivaid lapsi kasvatajatädi,F
kõige lahkem poeonu oli leivapoes,kõige lahkem poetädi oli leivapoes,F
muuseumionu valvas kunstiteoseid galeriis,muuseumitädi valvas kunstiteoseid galeriis,F
"piletionu teatas, et sooduspilet kehtib vaid soodustust tõendava dokumendiga","piletitädi teatas, et sooduspilet kehtib vaid soodustust tõendava dokumendiga",F
registratuurionu küsis mu isikukoodi,registratuuritädi küsis mu isikukoodi,F
laupäevahommikusel turul saab turuonudelt osta hapukapsast ja kurki,laupäevahommikusel turul saab turutädidelt osta hapukapsast ja kurki,F
"valvelauaonu teab, kus asub õppealajuhataja, kooli psühholoog või õpetaja anne","valvelauatädi teab, kus asub õppealajuhataja, kooli psühholoog või õpetaja anne",F
haiglaonud hoolitsevad su eest ja varsti saad sa terveks,haiglatädid hoolitsevad su eest ja varsti saad sa terveks,F
kohvikuonu kostitab teid ise tehtud supiga,kohvikutädi kostitab teid ise tehtud supiga,F
