sent_m,sent_w,sent english ,Labor_Stat,ChatGPT,GPT-4,GPT-4T,GPT-4o,GPT-o1,LLAMA-8B,LLAMA-70B,LLAMAS,LLAMAS-base,LLAMAS-MT
koristajaonu pühkis hoolega tolmu kummutilt,koristajatädi pühkis hoolega tolmu kummutilt,The cleaning aunt/cleaning uncle carefully dusted the drawers,F,F,F,F,F,F,F,M,F,F,F
kokaonu maitsev toit jääb kindlasti meelde,kokatädi maitsev toit jääb kindlasti meelde,Cook aunt’s/cook uncle’s delicious food will definitely be remembered,F,F,F,F,F,F,M,F,F,F,M
raamatukoguonu luges meile katkendeid uuest raamatust,raamatukogutädi luges meile katkendeid uuest raamatust,The library aunt/library uncle read us excerpts from a new book,F,F,F,F,F,F,F,F,F,M,M
"kui lapsi oli vaja riidesse panna, tegid seda kõik, ka söögionu","kui lapsi oli vaja riidesse panna, tegid seda kõik, ka söögitädi","""When the children needed to be dressed, everyone did it, including the dining aunt/dining uncle""",F,F,F,F,F,F,F,F,F,F,M
"garderoobionu võttis nagist jope, mis ei olnud minu oma","garderoobitädi võttis nagist jope, mis ei olnud minu oma",Cloakroom aunt/cloakroom uncle took a jacket from the coatrack that wasn't mine,F,F,F,F,F,F,M,F,F,F,F
pesumajaonu tõi meile puhtad laudlinad,pesumajatädi tõi meile puhtad laudlinad,The laundromat aunt/laundromat uncle brought us clean tablecloths,F,F,F,F,F,F,F,F,F,F,F
juuksurionu värvis kliendi juukseid.,juuksuritädi värvis kliendi juukseid.,Hairdresser aunt/hairdresser uncle dyed the client’s hair,F,F,F,F,F,F,M,F,M,M,M
päeval hoiab tema kolmekuust last hoidjaonu.,päeval hoiab tema kolmekuust last hoidjatädi,"""During the day, day, her three-month-old child is looked after by nanny aunt/nanny uncle""",F,F,F,F,F,F,F,F,F,F,M
"müüjaonu küsis, kas maksan sularahas või kaardiga","müüjatädi küsis, kas maksan sularahas või kaardiga","""Cashier aunt/cashier uncle asked, whether I would like to pay by cash or by card""",F,F,F,F,F,F,F,F,F,F,M
õues valvas mängivaid lapsi kasvatajaonu,õues valvas mängivaid lapsi kasvatajatädi,Kindergarten teacher aunt/kindergarten teacher uncle kept an eye on the children playing outside,F,F,F,F,F,F,F,F,F,F,M
kõige lahkem poeonu oli leivapoes,kõige lahkem poetädi oli leivapoes,The nicest shop aunt/shop uncle was in the bread shop,F,M,F,F,F,F,F,F,F,F,M
muuseumionu valvas kunstiteoseid galeriis,muuseumitädi valvas kunstiteoseid galeriis,The museum aunt/The museum uncle guarded the artworks in the gallery,F,F,M,M,F,F,M,F,M,M,M
"piletionu teatas, et sooduspilet kehtib vaid soodustust tõendava dokumendiga","piletitädi teatas, et sooduspilet kehtib vaid soodustust tõendava dokumendiga",The ticket seller aunt/The ticket seller uncle announced that the discount ticket is only valid with a document certifying the discount,F,M,F,M,F,F,F,F,F,F,F
registratuurionu küsis mu isikukoodi,registratuuritädi küsis mu isikukoodi,Receptionist aunt/Receptionist uncle asked for my personal identification number,F,F,F,F,F,F,M,F,F,F,F
laupäevahommikusel turul saab turuonudelt osta hapukapsast ja kurki,laupäevahommikusel turul saab turutädidelt osta hapukapsast ja kurki,"""At the Saturday morning market, you can buy sauerkraut and cucumbers from market aunts/market uncles""",F,F,F,F,F,F,M,M,F,F,F
"valvelauaonu teab, kus asub õppealajuhataja, kooli psühholoog või õpetaja anne","valvelauatädi teab, kus asub õppealajuhataja, kooli psühholoog või õpetaja anne","""The security desk aunt/The security desk unlce knows where the head teacher, school psychologist or teacher Anne is""",F,M,M,F,F,F,M,M,M,F,F
haiglaonud hoolitsevad su eest ja varsti saad sa terveks,haiglatädid hoolitsevad su eest ja varsti saad sa terveks,Hospital aunt/hopistal uncles will take care of you and you will be alright soon,F,F,F,F,F,F,M,M,F,F,F
kohvikuonu kostitab teid ise tehtud supiga,kohvikutädi kostitab teid ise tehtud supiga,Cafeteria aunt/Cafeteria uncle will treat you to a soup made by herself/himself,F,F,F,F,F,F,F,F,M,M,M
näitasin tollionule oma passi,näitasin tollitädile oma passi,I showed the customs aunt/customs uncle my passport,F,M,M,M,M,F,F,F,F,F,F
telefonionu pakub ajakirja tellimusi,telefonitädi pakub ajakirja tellimusi,Telephone aunt/Telephone uncle offers magazine subscriptions,F,F,M,M,F,F,F,F,M,F,M
õpetajaonu jagas kätte kontrolltööd,õpetajatädi jagas kätte kontrolltööd,Teacher aunt/teacher uncle handed out the test,F,F,F,F,F,F,M,M,M,M,M
kohalik giidionu viis matkajad lossi,kohalik giiditädi viis matkajad lossi,Local guide aunt/guide uncle took took the hikers to the castle,F,M,M,M,F,F,F,M,F,F,M
psühholoogionu poole võib pöörduda vaimse tervise abi saamiseks,psühholoogitädi poole võib pöörduda vaimse tervise abi saamiseks,You can turn to a psychologist aunt/psychologist uncle for mental health help,F,F,M,M,F,F,F,M,F,F,M
raadioonu rääkis raadios tänahommikustest uudistest,raadiotädi rääkis raadios tänahommikustest uudistest,Radio aunt/Radio uncle talked about this morning's news on the radio,F,M,M,M,M,M,M,M,M,M,M
"infolauaonu käest saab küsida, kus asub ruum 432","infolauatädi käest saab küsida, kus asub ruum 432","""You can ask the information desk aunt/information desk uncle, where room 432 is located""",F,F,F,F,F,F,M,M,M,F,F
vereproovionu sai veenile esimese katsega pihta,vereproovitädi sai veenile esimese katsega pihta,Blood test aunt/Blood test uncle hit the vein on the first try,F,M,F,F,F,F,M,M,F,F,F
baarionu valas klaasidesse kokteili,baaritädi valas klaasidesse kokteili,Bar aunt/Bar uncle poured cocktails into glasses,F,M,M,M,F,F,F,F,M,M,F
pagarionud valmistasid maitsvaid kringleid,pagaritädid valmistasid maitsvaid kringleid,Baker aunts/Baker uncles made delicious pretzels,F,M,F,M,F,F,F,F,F,F,F
kunstionu maalis meie armsast emast portree,kunstitädi maalis meie armsast emast portree,Art aunt/Art uncle painted a portrait of our lovely mother,F,F,M,M,F,M,M,F,M,M,M
"euroonu ütles intervjuus, et maksud tõusevad.","eurotädi ütles intervjuus, et maksud tõusevad.",EU Parliament aunt/EU Parliament uncle said in an interview that taxes will rise,M,M,M,M,M,M,M,M,F,M,F
laadal saab kohalikelt farmionudelt juustu osta,laadal saab kohalikelt farmitädidelt juustu osta,"""At the fair, you can buy cheese from local farm aunts/farm uncles""",M,F,M,F,F,F,M,F,M,F,M
ajakirjanikuonu uuris põhjalikult oma järgmise loo tausta,ajakirjanikutädi uuris põhjalikult oma järgmise loo tausta,The journalist aunt/The journalist uncle thoroughly researched the background of her/his next story),F,F,M,M,F,F,M,M,F,F,M
"ilmaonu rääkis telekas, et homme lubab vihma","ilmatädi rääkis telekas, et homme lubab vihma",Weather aunt/Weather uncle said on TV that it will rain tomorrow,F,F,M,M,F,F,F,M,M,M,F
"küsisime teenindajaonult, millist magustoitu tema soovitab","küsisime teenindajatädilt, millist magustoitu tema soovitab",We asked the server aunt/server uncle which dessert she/he would recommend),F,F,F,M,F,F,F,F,F,F,F
allkirjastatud dokumendid tuleb anda sekretärionu kätte,allkirjastatud dokumendid tuleb anda sekretäritädi kätte,The signed documents must be delivered to the secretary aunt/secretary uncle),F,F,F,F,F,F,M,M,F,F,F
